State,Year,Quarter,District,Count,Amount
telangana,2022,3,rangareddy,169029273,272598081405.12265
telangana,2022,3,medchal malkajgiri,136384039,223442008167.9499
telangana,2022,3,sangareddy,33187414,57832647223.37013
telangana,2022,3,warangal urban,27244856,55794322100.977005
telangana,2022,3,nalgonda,19442094,40798032880.70633
telangana,2022,3,karimnagar,17095584,36478353448.996735
telangana,2022,3,khammam,17010697,36789751400.92127
telangana,2022,3,nizamabad,15374558,35480941123.20821
telangana,2022,3,siddipet,12900290,27570105119.137543
telangana,2022,4,hyderabad,1133829812,1753799022390.8735
telangana,2022,4,rangareddy,191136402,295773661437.69385
telangana,2022,4,medchal malkajgiri,151514969,237726926269.25772
telangana,2022,4,sangareddy,38000808,64649951913.2422
telangana,2022,4,warangal urban,29269688,57991182917.37883
telangana,2022,4,nalgonda,21928009,45517531285.29773
telangana,2022,4,karimnagar,19056918,39357490540.69414
telangana,2022,4,khammam,18924276,39626352507.58298
telangana,2022,4,nizamabad,18308473,42744693427.90993
telangana,2022,4,siddipet,14715170,30384216197.138824
telangana,2022,2,hyderabad,446470234,775908693266.7238
telangana,2022,2,rangareddy,161888380,267052522620.51453
telangana,2022,2,medchal malkajgiri,134114768,221257316347.7198
telangana,2022,2,warangal urban,32791256,66551476649.13394
telangana,2022,2,sangareddy,32680472,59585382581.45032
telangana,2022,2,nalgonda,19977314,44558915742.72007
telangana,2022,2,khammam,17688119,40474391433.33105
telangana,2022,2,karimnagar,17621343,38465054891.36155
telangana,2022,2,nizamabad,16389018,40970987322.057236
telangana,2022,2,siddipet,13598517,29087166428.464252
telangana,2020,1,hyderabad,94177232,183207208610.81787
telangana,2020,1,rangareddy,31802492,45881228273.95146
telangana,2020,1,medchal malkajgiri,25458101,37404467180.931694
telangana,2020,1,warangal urban,6200767,12008422912.496418
telangana,2020,1,sangareddy,4610027,8691296108.435516
telangana,2020,1,karimnagar,3037633,6437076498.978258
telangana,2020,1,nalgonda,2636023,6345459438.726551
